transaction_id,customer_id,age,personal_income,family_income,credit_score,loan_amount,has_loan,owns_home,transaction_amount,account_age_days,num_prev_transactions,avg_transaction_value,internet_usage_hrs,mobile_usage_hrs,is_fraud,fraud_amount,gender_Female,gender_Male,education_Bachelor,education_High School,education_Master,education_Other,education_PhD,marital_status_Divorced,marital_status_Married,marital_status_Single,marital_status_Widowed,region_East,region_North,region_South,region_West,Age Group_18–26,Age Group_26–34,Age Group_34–42,Age Group_42–50,Age Group_50–58,Age Group_58–66,Age Group_66–74,Age Group_74–82,Age Group_82–90,transaction_type_ATM,transaction_type_In-Store,transaction_type_Online,transaction_type_Transfer,device_type_ATM,device_type_Desktop,device_type_Mobile,device_type_POS
45,7613,27.8,82019.19,128884.49,776,11591.21,1,0,3386.26,3231,103,7651.14,1.1,2.1,0,0.0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
46,3692,39.2,99166.95,124155.79,729,20654.05,0,0,1131.5,379,124,1754.36,4.2,5.0,0,0.0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
47,2052,43.1,35409.01,73878.1,720,9591.44,0,1,3183.1,1597,10,3229.38,1.5,4.7,0,0.0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
48,3195,65.9,69933.98,84639.02,614,1122.21,0,1,1809.79,1159,187,9743.31,1.6,7.0,0,0.0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
49,4747,55.2,50693.79,80340.51,579,18298.89,0,0,4353.59,2989,31,9863.42,2.6,2.8,0,0.0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
50,9411,23.6,57881.03,85265.72,726,46538.23,0,1,1058.46,3817,156,5130.92,4.7,5.6,0,0.0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
51,6684,54.9,112886.87,146266.49,720,9664.71,0,1,1854.22,1810,60,9343.36,2.6,1.1,0,0.0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
52,9098,44.2,29940.59,54397.69,768,4875.42,0,0,1988.61,613,249,5232.08,1.6,4.3,0,0.0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
53,3972,39.8,65074.79,93102.7,602,11688.63,1,1,1080.45,4557,270,2922.97,5.0,6.2,0,0.0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
54,5453,59.2,69353.86,111744.57,632,991.43,1,1,311.7,3407,217,2676.32,7.0,6.4,0,0.0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
55,6382,65.5,81715.73,105164.26,519,34350.22,0,0,196.46,3431,2,9295.76,5.3,6.4,1,191.86,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
56,5532,64.0,61959.66,67861.01,619,35013.21,0,0,33.62,3215,24,1732.74,7.6,7.0,1,27.04,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
57,5204,37.4,66161.01,122404.77,730,17734.66,0,1,4135.57,2224,206,5800.53,6.8,3.9,0,0.0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
58,4972,45.4,52167.03,102888.84,613,8711.36,0,1,539.62,1192,199,5559.7,3.0,6.2,0,0.0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
59,2244,55.0,65382.54,75998.6,701,32167.11,1,0,475.26,328,114,7398.82,5.3,9.7,1,398.13,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
60,7655,64.6,53136.15,93481.77,635,16179.56,0,0,2663.88,3377,280,4997.44,3.8,3.8,1,1762.99,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
61,1928,42.8,72431.44,94886.82,676,34966.22,1,0,771.37,1969,155,2730.13,6.1,8.5,0,0.0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
62,6994,47.2,52607.79,86560.1,558,19964.05,0,1,1410.62,818,165,1702.27,3.8,7.2,1,1116.81,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
63,8740,33.4,67542.01,101955.37,657,30687.12,1,1,354.69,4975,222,6211.98,2.4,4.3,1,345.45,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
64,1606,32.1,59414.74,85898.63,411,18254.09,0,1,6425.08,2919,91,7192.72,6.7,4.5,0,0.0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
65,7774,62.2,82521.01,100764.52,635,10693.52,1,0,3815.44,1407,167,5699.52,4.6,5.3,1,3636.32,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
66,9683,70.3,58972.13,78614.01,520,63375.95,0,1,3987.11,1979,207,7386.13,2.7,7.1,0,0.0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
67,5397,48.9,24539.35,40796.47,746,15579.06,1,1,1044.36,3302,282,1423.8,3.0,6.0,1,599.16,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
68,1131,65.1,85238.43,102761.1,712,18581.92,0,0,2874.01,907,65,8825.88,2.7,3.8,0,0.0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
69,2813,55.4,41885.35,70877.68,687,4981.73,0,0,310.68,3772,4,5828.13,2.0,0.5,1,222.99,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
70,1340,40.3,46924.67,66188.27,772,19651.32,1,1,17.31,1607,157,1277.17,3.0,6.7,1,10.82,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
71,2484,55.4,48086.77,88317.56,574,16954.32,1,1,40.35,3169,249,4624.63,4.7,0.5,1,34.03,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
72,1483,73.1,87488.76,139797.45,790,4087.38,1,0,1766.69,2522,257,8449.47,4.1,1.6,0,0.0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
73,4671,49.5,17286.52,38585.72,725,1228.72,1,1,1215.39,2785,235,8976.65,3.1,4.0,0,0.0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
74,2748,73.5,122754.97,156346.04,631,18544.98,1,0,1459.69,1933,74,2653.85,7.0,2.0,1,1397.24,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
75,4485,18.0,81121.14,118616.41,741,28852.41,0,1,14.98,1412,187,7115.55,0.5,5.8,0,0.0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
76,7549,62.3,64464.78,101544.81,561,14821.61,0,1,1098.74,4270,62,1008.85,4.6,4.3,1,1062.14,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
77,8458,51.3,58902.12,90041.45,584,5143.64,0,1,2532.18,2352,164,345.12,3.7,7.0,1,1667.53,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
78,6844,45.5,65711.08,106851.32,601,21963.57,1,1,1169.28,2586,56,5608.39,2.1,1.0,0,0.0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
79,2985,51.4,70422.45,107656.18,608,1669.93,0,1,2635.17,1891,111,6951.33,4.7,3.3,0,0.0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
80,4588,20.2,72904.31,84339.38,565,11661.97,0,0,530.59,1896,218,7959.91,3.6,5.0,0,0.0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
81,9093,46.7,71112.09,114149.43,748,3567.39,0,1,3354.81,4077,240,3408.76,6.5,5.1,0,0.0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
82,3254,55.4,61791.61,105100.98,629,4078.07,1,0,1775.56,3205,21,75.19,5.7,6.7,0,0.0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
83,1242,72.2,56053.23,74603.94,678,4520.3,0,0,473.38,1128,141,4800.4,7.8,2.7,1,378.21,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
84,1609,42.2,56974.53,87543.6,604,9778.25,0,0,540.26,1764,265,168.38,3.0,3.8,0,0.0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
85,7558,37.9,56101.83,96351.77,504,1050.1,0,0,1977.89,4693,139,928.93,6.8,6.3,0,0.0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
86,9688,42.5,82675.4,109535.69,672,10143.1,0,1,3543.2,3446,70,3273.62,1.7,0.5,0,0.0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
87,5961,63.7,71871.13,117965.81,497,14336.81,0,0,1074.43,4656,118,4377.35,3.8,6.0,0,0.0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
88,2515,54.9,15000.0,80458.09,645,13205.64,1,1,597.62,710,198,2801.9,3.1,6.9,1,466.21,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
89,7441,42.1,73118.02,91328.23,541,9650.73,1,1,4034.99,2100,205,5822.83,5.2,1.7,0,0.0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
90,3086,57.7,63894.72,73179.05,809,36545.24,1,0,2212.9,4854,214,562.94,5.2,4.2,1,2175.34,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
91,3036,51.5,59625.82,94183.1,723,3140.72,0,1,1188.72,1759,56,1454.35,2.2,8.7,1,953.42,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
92,8570,64.5,52229.63,93053.07,658,14092.12,1,0,1338.47,2221,287,6955.63,5.3,6.6,1,1170.65,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
93,6106,39.5,82482.25,109019.26,751,1280.99,0,0,456.96,697,293,1429.99,3.2,6.1,1,442.41,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
94,4087,45.1,78950.53,130749.44,582,1476.28,0,1,1971.3,1642,175,6401.35,2.4,7.5,1,1568.76,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
95,4280,44.1,44542.45,54463.36,693,17060.02,1,0,888.65,710,128,556.3,4.0,9.5,1,449.68,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
96,8478,28.0,68141.05,108534.83,666,16695.06,0,0,10872.94,1002,292,4079.75,1.0,5.0,0,0.0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
97,2714,54.4,40566.87,61478.95,671,42080.18,0,1,1308.56,2876,288,1782.32,5.9,4.0,1,1113.81,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
98,1967,53.9,32407.64,88198.31,752,16323.19,1,1,1330.62,2162,226,1105.27,3.9,7.5,0,0.0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
99,1606,50.1,47465.66,107353.39,709,64273.3,0,0,1668.74,2493,64,5674.66,3.9,4.5,0,0.0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
100,4283,46.5,77247.87,95748.02,673,998.41,1,1,4971.96,2559,48,9284.07,3.8,2.7,0,0.0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
101,3712,28.8,79062.5,100819.14,518,2062.99,0,1,3227.07,2533,202,557.32,7.3,3.6,1,2049.59,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
102,3270,43.7,70261.71,113155.53,573,901.33,1,1,1199.79,4952,60,4221.33,7.0,5.8,1,902.62,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
103,1969,44.9,74501.92,98694.96,640,4098.14,0,0,2536.66,4422,257,7078.28,6.7,3.9,0,0.0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
104,8893,38.0,70323.57,99642.4,657,15585.87,0,1,1764.92,3213,65,4632.25,3.8,4.1,0,0.0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
105,5254,47.6,47170.37,77551.19,560,20745.01,1,1,1355.99,4063,239,8066.89,1.8,2.4,0,0.0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
106,5106,56.1,68638.45,69843.35,843,933.14,0,1,427.17,3197,289,1804.66,4.0,8.6,1,418.49,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
107,9684,78.3,76008.19,105800.62,771,58364.65,0,1,1247.0,3027,38,9596.35,4.6,4.1,1,753.26,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
108,7319,52.6,75085.83,94739.91,698,36924.15,0,0,564.24,3257,25,3857.77,5.6,3.2,1,369.92,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
